site,longitude,latitude
A,-76.547428,38.701864
B,-77.141237,38.908401
C,-77.344691,38.923701
D,-77.056624,38.985695
E,-77.053261,38.9940209
F,-77.143132,38.969384
G,-76.954216,39.006581
H,-76.4634559,39.113222
I,-77.001426,38.974092
J,-77.357085,38.915823
K,-76.794801,38.973981
L,-76.544845,39.105421
M,-77.0044999,38.975678
N,-76.6247706,39.3785005
O,-76.998514,38.643016
P,-76.548147,39.1266869
Q,-77.0534793,38.8998161
R,-76.486058,38.961607
S,-77.264527,38.741523
T,-77.417784,38.86521
W,-77.022476,39.014336
X,-76.928893,39.062453
Y,-77.023009,38.675648
Z,-77.227465,38.997639
A0,-76.588726,39.39505
A1,-77.1744779,39.296883
A2,-77.047295,38.91961
A3,-76.582544,38.986184
A4,-76.9875121,39.311968
A5,-76.844151,39.156593
A9,-76.592053,39.091509
A10,-77.353191,38.620588
A11,-77.040869,39.114851
A12,-76.585205,39.682552
A13,-76.7823294,39.2755107
A14,-77.4931403,38.5030314
A15,-77.0966863,38.8984088
A16,-76.600191,39.0418
A17,-77.161137,38.9054379
A18,-77.030058,38.911387
A20,-77.050956,38.719745
A21,-77.109536,38.9477509
A22,-77.144797,38.865283
A23,-77.1347849,39.057841
A24,-77.02016,38.985337
A25,-77.017809,38.988852
A26,-77.131606,38.912796
A27,-76.571523,38.965551
A28,-77.131975,38.900944
A29,-77.394082,38.669927
A30,-76.666452,39.376227
A31,-77.057245,38.909098
A35,-76.6004572,39.0889058
A36,-77.122382,38.884775
A37,-77.1299429,38.8873203
A38,-76.859476,38.779326
A39,-77.118948,38.999261
A40,-77.162226,38.923338
A41,-77.234168,39.205928
A42,-77.094257,38.964377
A43,-76.580842,39.6520719
A44,-76.5836379,39.089982
A45,-77.0555679,38.975772
A46,-77.6170226,38.8094545
A47,-77.059128,38.9755899
A48,-76.498238,38.932901
A49,-76.618285,38.792784
A53,-76.604875,38.985185
A54,-77.131385,38.858713
A55,-76.800323,39.110734
A56,-77.3370659,38.907991
A57,-77.3133098,39.5284661
A58,-77.070241,38.82682
A59,-77.005089,38.981451
A60,-77.096479,38.70586
A61,-76.962091,38.8647009
A62,-76.967501,39.015737
A67,-77.595991,38.847163
A68,-77.176373,39.1549679
A69,-77.14675,38.895207
A70,-77.136912,38.859227
A71,-77.083048,39.462348
A72,-77.0468821,38.9228695
A73,-77.307837,39.090088
A74,-76.5829354,39.0968432
A75,-77.321122,38.379286
A76,-76.741647,39.2755579
A80,-77.299529,38.9356719
A81,-77.0569953,38.9347824
A82,-77.10438,38.957317
A83,-77.084666,38.979607
A84,-76.590598,39.37807
A85,-77.107524,38.949123
A86,-76.509761,38.992363
A87,-77.428434,38.813614
A88,-76.540462,38.791103
A89,-77.057438,38.972548
A91,-77.003418,39.150226
A92,-76.884471,39.207681
A93,-77.053419,39.349102
A94,-76.927404,39.17445
A95,-77.078711,38.793118
A96,-77.000539,39.296127
A97,-77.06656,38.761045
A99,-77.098502,38.958519
B0,-76.6562189,38.74678
B6,-76.930128,39.064398
B7,-76.996818,38.8832949
B8,-76.534965,38.703938
B9,-76.853221,39.304536
B10,-76.464454,38.997801
B11,-77.006586,38.994546
B12,-77.298639,39.03698
B13,-76.467636,39.092693
B14,-77.339556,38.687584
B15,-77.22271,38.98491
B19,-76.5661669,38.997059
B20,-76.701063,39.244223
B21,-76.924391,39.013338
B22,-76.54208,39.086632
B23,-77.084123,38.948918
B24,-76.731378,38.714152
B25,-77.0425009,38.9260611
B26,-76.763506,39.299235
B27,-77.399071,38.847926
B28,-77.103347,38.785285
B31,-76.5815889,39.28586
B32,-77.038154,39.320194
B33,-76.548087,39.010306
B34,-76.469742,39.017504
B35,-77.05506,38.983994
B36,-77.030899,39.067299
B37,-76.120752,38.857279
B38,-77.082309,38.957479
B39,-77.0506611,38.9969124
B40,-76.87653,39.23045
B46,-76.554741,38.859292
B47,-77.237144,38.889054
B48,-76.874928,39.149707
B49,-77.180685,39.067306
B50,-76.921043,38.927268
B51,-76.868065,38.760102
B52,-77.0572959,38.9950789
B53,-77.108812,39.1061679
B54,-77.290717,39.079904
B55,-76.4311957,39.2228524
B59,-76.948866,38.960514
B61,-76.991736,38.9863069
B62,-77.378549,38.778651
B63,-77.074553,38.81267
B64,-77.188804,39.210605
B65,-77.277689,38.796518
B66,-77.112573,38.96962
B67,-76.766264,38.411017
B68,-77.142047,38.974021
B69,-76.507194,38.997639
B74,-77.1665079,38.913689
B76,-76.8742171,39.0025711
B77,-77.015174,39.002569
B78,-77.106739,38.823027
B79,-77.0774969,38.963637
B80,-76.5658739,38.965145
B81,-77.113468,38.907151
B82,-76.538632,39.013182
B83,-76.46017,39.0370009
B84,-77.0854295,38.9453318
B87,-76.993457,38.978093
B88,-77.066506,38.906572
B89,-76.6846731,38.9960574
B90,-76.597799,38.722715
B91,-77.131207,39.009805
B92,-77.281211,38.9061499
B93,-77.327544,38.689361
B94,-77.088998,38.884101
B95,-77.064632,38.966059
B96,-77.060153,38.8014231
C1,-77.348624,38.78705
C2,-76.494297,38.969339
C3,-77.21293,38.877517
C4,-76.917719,38.930009
C5,-77.03267,39.069477
C6,-77.0618363,38.9415811
C7,-77.042997,38.918466
C8,-77.152937,38.889626
C9,-77.294554,38.840839
C10,-76.897354,38.7205749
C13,-77.281387,38.745977
C14,-77.074992,38.982839
